airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-04-03,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No info,4174
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,20:45:00,1550,1.0,In-flight meal not included,10844
Indigo,2019-03-27,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No info,4729
Spicejet,2019-06-06,Kolkata,Banglore,11:15:00,18:30:00,435,1.0,No info,10156
Multiple Carriers,2019-05-27,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No info,15898
Multiple Carriers,2019-05-18,Delhi,Cochin,14:55:00,22:30:00,455,1.0,No info,7740
Air India,2019-03-12,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No info,4307
Spicejet,2019-05-18,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Multiple Carriers,2019-06-12,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No info,7408
Vistara,2019-03-15,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No info,6627
Indigo,2019-05-03,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No info,3943
Air India,2019-06-24,Delhi,Cochin,16:55:00,19:15:00,1580,2.0,No info,13381
Multiple Carriers,2019-05-18,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No info,13727
Vistara,2019-03-06,Mumbai,Hyderabad,11:55:00,09:25:00,1290,1.0,No info,12395
Jet Airways,2019-06-06,Delhi,Cochin,14:00:00,19:00:00,300,1.0,In-flight meal not included,10262
Indigo,2019-05-24,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No info,4332
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,19:50:00,800,1.0,No info,14571
Jet Airways,2019-05-18,Delhi,Cochin,07:05:00,19:00:00,715,1.0,In-flight meal not included,12373
Jet Airways,2019-05-15,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,In-flight meal not included,8586
Multiple Carriers,2019-06-09,Delhi,Cochin,04:55:00,12:35:00,460,1.0,No info,10877
Jet Airways,2019-05-12,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,No info,14781
Indigo,2019-03-01,Kolkata,Banglore,22:10:00,00:55:00,165,0.0,No info,4778
Air Asia,2019-06-09,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No info,8420
Air India,2019-06-06,Delhi,Cochin,13:30:00,23:00:00,570,1.0,No info,8907
Indigo,2019-04-03,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,No info,3480
Air India,2019-05-12,Kolkata,Banglore,16:45:00,12:30:00,1185,2.0,No info,14330
Air India,2019-05-24,Kolkata,Banglore,09:50:00,08:55:00,1385,2.0,No info,15170
Indigo,2019-05-15,Delhi,Cochin,14:25:00,17:40:00,195,0.0,No info,6541
Indigo,2019-06-03,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No info,3943
Multiple Carriers,2019-05-18,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No info,9646
Jet Airways,2019-06-12,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,7594
Indigo,2019-06-12,Delhi,Cochin,14:25:00,17:40:00,195,0.0,No info,5601
Air India,2019-03-21,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No info,8236
Air India,2019-05-06,Kolkata,Banglore,07:00:00,10:00:00,1620,2.0,No info,14508
Vistara,2019-05-01,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No info,4668
Jet Airways,2019-03-21,Banglore,New Delhi,11:40:00,07:40:00,1200,1.0,In-flight meal not included,7832
Jet Airways,2019-03-21,Delhi,Cochin,17:30:00,18:50:00,1520,1.0,In-flight meal not included,5963
Jet Airways,2019-05-27,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No info,16704
Jet Airways,2019-06-03,Delhi,Cochin,17:30:00,12:35:00,1145,1.0,No info,14714
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,In-flight meal not included,10844
Air India,2019-03-03,Delhi,Cochin,05:00:00,19:15:00,2295,2.0,No info,10283
Spicejet,2019-06-01,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Air India,2019-05-21,Kolkata,Banglore,09:50:00,23:15:00,805,3.0,No info,14960
Jet Airways,2019-04-15,Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,6542
Spicejet,2019-03-24,Kolkata,Banglore,11:35:00,18:50:00,435,1.0,No info,9923
Spicejet,2019-04-09,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No info,3971
Multiple Carriers,2019-06-27,Delhi,Cochin,12:50:00,19:15:00,385,1.0,In-flight meal not included,7268
Air India,2019-03-21,Delhi,Cochin,17:20:00,09:25:00,965,1.0,No info,6482
Air India,2019-05-01,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No info,6121
Jet Airways,2019-03-01,Banglore,New Delhi,08:00:00,05:05:00,1265,1.0,No info,22270
Indigo,2019-05-06,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No info,4077
Multiple Carriers,2019-03-09,Delhi,Cochin,07:30:00,19:45:00,735,1.0,No info,12615
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,No info,13731
Air India,2019-05-27,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No info,10467
Indigo,2019-03-24,Banglore,New Delhi,10:10:00,13:00:00,170,0.0,No info,5734
Indigo,2019-06-27,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No info,4823
Air Asia,2019-06-21,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No info,3383
Multiple Carriers,2019-05-27,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No info,8837
Jet Airways,2019-03-15,Banglore,New Delhi,22:55:00,05:05:00,370,1.0,No info,27210
Multiple Carriers,2019-03-06,Delhi,Cochin,07:05:00,21:20:00,855,2.0,No info,7084
Jet Airways,2019-03-18,Banglore,New Delhi,16:55:00,10:25:00,1050,1.0,In-flight meal not included,11087
Indigo,2019-06-15,Delhi,Cochin,08:35:00,22:30:00,835,1.0,No info,6442
Jet Airways,2019-03-06,Delhi,Cochin,18:15:00,19:45:00,1530,1.0,No info,17024
Jet Airways,2019-05-18,Delhi,Cochin,19:10:00,19:00:00,1430,2.0,No info,16704
Jet Airways,2019-06-06,Delhi,Cochin,09:25:00,04:25:00,1140,2.0,In-flight meal not included,11992
Jet Airways,2019-06-24,Delhi,Cochin,17:35:00,19:00:00,1525,2.0,No info,13922
Jet Airways,2019-03-06,Banglore,New Delhi,05:45:00,23:00:00,1035,1.0,No info,16736
Jet Airways,2019-05-18,Delhi,Cochin,08:00:00,19:00:00,660,1.0,In-flight meal not included,12373
Jet Airways,2019-04-01,Kolkata,Banglore,14:05:00,20:45:00,400,1.0,No info,13364
Jet Airways,2019-06-09,Delhi,Cochin,07:05:00,12:35:00,330,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-15,Delhi,Cochin,11:40:00,19:15:00,455,1.0,No info,9526
Indigo,2019-04-06,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No info,4423
Air Asia,2019-05-01,Kolkata,Banglore,15:10:00,23:30:00,500,2.0,No info,5192
Air India,2019-05-27,Delhi,Cochin,05:15:00,06:50:00,1535,1.0,No info,8425
